parameter,mean_post,se_mean,sd,ci_l,25%,50%,75%,ci_u,n_eff,Rhat,group,prior_mu_L,prior_sigma_L
PAR0,0.082217337,0.000262024,0.019126781,0.049345743,0.068526388,0.080646736,0.094393826,0.123589978,5328.4655,1.000311615,Rate(16=<UV<50),0.05,0.03
L,0.073314287,0.000280779,0.021008236,0.036807324,0.057919917,0.071844592,0.087191653,0.118275854,5598.213246,1.000792051,Rate(UV>=50),0.05,0.03
PAR0,0.072411325,0.00027304,0.020527762,0.036561589,0.057358673,0.070986088,0.085923879,0.115911448,5652.371877,1.000813243,Rate(UV>=50),0.05,0.03
L,0.058775156,0.000164516,0.01191974,0.036886027,0.050395134,0.058237537,0.066741074,0.083229918,5249.506894,1.001412333,Rate(Age<12),0.05,0.015
PAR0,0.058089571,0.000158273,0.01157851,0.036718903,0.04998061,0.057620831,0.065898981,0.081700283,5351.726618,1.001236796,Rate(Age<12),0.05,0.015
L,0.058632022,0.000163969,0.012483688,0.036044939,0.049771319,0.058114042,0.066725251,0.084347011,5796.433251,0.999881225,Rate(12<=Age<16),0.05,0.015
PAR0,0.057680076,0.000157998,0.012113989,0.035603681,0.049119234,0.057230166,0.065642397,0.0829504,5878.550392,0.999813916,Rate(12<=Age<16),0.05,0.015
L,0.065334243,0.000164614,0.011465923,0.044293921,0.057299333,0.064824463,0.072806627,0.089213576,4851.583826,1.001246428,Rate(16=<UV<50),0.05,0.015
PAR0,0.064669304,0.000155694,0.011153896,0.043922977,0.056879659,0.06421107,0.071958323,0.087663335,5132.294386,1.001206722,Rate(16=<UV<50),0.05,0.015
L,0.059133565,0.000161018,0.012515614,0.035975251,0.050245404,0.058723121,0.067365531,0.085111796,6041.620196,1.000188613,Rate(UV>=50),0.05,0.015
PAR0,0.058588979,0.000157974,0.012366097,0.035584714,0.049846218,0.058262205,0.066758288,0.083996575,6127.683251,1.000243587,Rate(UV>=50),0.05,0.015
L,0.054458542,0.000111668,0.00875959,0.037934838,0.048469682,0.054152185,0.060256165,0.072413464,6153.297571,1.000028916,Rate(Age<12),0.05,0.01
PAR0,0.053952624,0.000107579,0.008560885,0.037705952,0.048111503,0.053731375,0.059630396,0.0712332,6332.658849,0.999985321,Rate(Age<12),0.05,0.01
L,0.054245313,0.000121047,0.008927446,0.037604468,0.048006511,0.054048372,0.060222875,0.07216967,5439.306898,1.00094477,Rate(12<=Age<16),0.05,0.01
PAR0,0.053484805,0.00011649,0.008730867,0.037058258,0.047443788,0.053227387,0.059348137,0.071007612,5617.413879,1.000743937,Rate(12<=Age<16),0.05,0.01
L,0.058761956,0.000115783,0.008328858,0.042902433,0.053073769,0.058566186,0.064249264,0.075696646,5174.613997,1.00098421,Rate(16=<UV<50),0.05,0.01
PAR0,0.058300395,0.000112387,0.008195429,0.042689724,0.052715479,0.058135555,0.063732681,0.074668575,5317.574994,1.000905805,Rate(16=<UV<50),0.05,0.01
L,0.054748138,0.000104874,0.008942323,0.037727359,0.048638764,0.054529436,0.060694085,0.072806152,7270.562916,1.000154605,Rate(UV>=50),0.05,0.01
PAR0,0.054275245,0.000102107,0.008858778,0.037320627,0.048256683,0.054055897,0.060148506,0.071974209,7527.232888,1.000259245,Rate(UV>=50),0.05,0.01
L,0.051259453,4.37E-05,0.004855554,0.041857855,0.047945783,0.05125316,0.054562854,0.060793079,12364.75849,1.000147423,Rate(Age<12),0.05,0.005
PAR0,0.050834256,4.24E-05,0.004795303,0.041526016,0.047582643,0.050820522,0.054088239,0.060296761,12802.90313,1.000106814,Rate(Age<12),0.05,0.005
L,0.051195152,4.20E-05,0.004864933,0.041665577,0.047937488,0.05113786,0.05443962,0.060779196,13404.62443,0.999905162,Rate(12<=Age<16),0.05,0.005
PAR0,0.050537985,4.19E-05,0.004862195,0.041080101,0.047311178,0.050504153,0.053763831,0.060066554,13454.77495,0.999853213,Rate(12<=Age<16),0.05,0.005
L,0.052750928,4.28E-05,0.004670934,0.0436195,0.049594709,0.052681336,0.055898603,0.061978872,11929.84571,1.000134266,Rate(16=<UV<50),0.05,0.005
PAR0,0.05242323,4.20E-05,0.004622583,0.043369112,0.049314648,0.052381275,0.055531253,0.061590111,12141.7062,1.000105645,Rate(16=<UV<50),0.05,0.005
L,0.051262051,4.00E-05,0.004818353,0.041922718,0.047959542,0.051234376,0.054505114,0.060773416,14522.95986,1.000455901,Rate(UV>=50),0.05,0.005
PAR0,0.050862272,4.03E-05,0.004842445,0.041388165,0.047582131,0.050861788,0.054128111,0.06042562,14408.85341,1.000468346,Rate(UV>=50),0.05,0.005
L,0.050302214,2.03E-05,0.002454212,0.045550008,0.048643559,0.050290716,0.051984183,0.055101002,14644.38243,1.000193515,Rate(Age<12),0.05,0.0025
PAR0,0.049918175,2.04E-05,0.00247373,0.045041667,0.048265525,0.049929699,0.051608882,0.054735511,14753.00469,1.000273856,Rate(Age<12),0.05,0.0025
L,0.050288127,2.48E-05,0.002452874,0.045475302,0.048642444,0.050283761,0.051957224,0.055078921,9772.766511,1.000530054,Rate(12<=Age<16),0.05,0.0025
PAR0,0.049665448,2.75E-05,0.002596493,0.044436448,0.048007692,0.049720359,0.051414429,0.054594542,8914.42762,1.000546262,Rate(12<=Age<16),0.05,0.0025
L,0.050734244,2.20E-05,0.002461423,0.045886367,0.049095742,0.050724257,0.052403633,0.055589028,12566.75586,1.000006494,Rate(16=<UV<50),0.05,0.0025
PAR0,0.050445852,2.22E-05,0.0024711,0.045566844,0.048814342,0.050431195,0.052114342,0.055315611,12384.81132,1.000043839,Rate(16=<UV<50),0.05,0.0025
L,0.050312136,2.06E-05,0.002459793,0.045483041,0.048666898,0.050320896,0.051979591,0.055070887,14191.35408,0.999975237,Rate(UV>=50),0.05,0.0025
PAR0,0.049915561,2.35E-05,0.002582831,0.044818212,0.04824262,0.049963945,0.051649962,0.054760547,12129.65737,1.000106639,Rate(UV>=50),0.05,0.0025
