"Model","Parameter","Mean","SD","Q2.5","Median","Q97.5"
"Rate(Age<12)","L",0.0587380273269253,0.012046534870843,0.0371217193449299,0.0580889041143952,0.0841459951897593
"Rate(Age<12)","k",-12.2775925845623,2.19057654344252,-16.6806955766673,-12.2658027287025,-8.03345738949536
"Rate(Age<12)","x0",0.422094680243705,0.0358743749875776,0.346264869417567,0.4241471516003,0.486101370479709
"Rate(Age<12)","phi",168.922254643265,32.8088332669432,110.809196428435,166.602507629573,238.614397571537
"Rate(12<=Age<16)","L",0.0585729815047234,0.0125579293795684,0.0354194635706346,0.058046058259677,0.0841922963081922
"Rate(12<=Age<16)","k",-11.8775748875129,2.22961869652704,-16.3081273881698,-11.8715589711844,-7.53597904598693
"Rate(12<=Age<16)","x0",0.405137261599903,0.0386815754285628,0.318942513180857,0.407781636403632,0.474599595489617
"Rate(12<=Age<16)","phi",145.207166676696,28.4739647072396,94.6150527855319,143.637208004291,206.200137523216
"Rate(16=<V<50)","L",0.0114840760111727,0.00238712020564454,0.00721680470540719,0.011358101767978,0.0164795684621739
"Rate(16=<V<50)","k",-8.29499805880099,2.45348081436791,-13.2841310160633,-8.25583887170425,-3.58689750862192
"Rate(16=<V<50)","x0",0.451296984277797,0.0590024054157684,0.324866567059588,0.454974487594593,0.556702715145916
"Rate(16=<V<50)","phi",551.775239207135,104.550723074344,366.684838445178,544.409831559359,774.18322905719
"Rate(16=<UV<50)","L",0.0651208052794229,0.0114025922344368,0.0442917685825717,0.0647169340302807,0.0891201626154768
"Rate(16=<UV<50)","k",-11.7809098272458,2.04078648575742,-15.8778943111127,-11.7613550540217,-7.77315824753977
"Rate(16=<UV<50)","x0",0.445814465862083,0.0310128776910617,0.379471570020401,0.447302915323344,0.501460644624086
"Rate(16=<UV<50)","phi",182.270770576918,34.2240878459917,121.688244031466,180.138956132051,255.345814014477
"Rate(V>=50)","L",0.0115107292513596,0.00248640758491415,0.0069803281147841,0.0113974862781985,0.0166104504937625
"Rate(V>=50)","k",-10.5715892922013,2.63403391212846,-15.810249374053,-10.5557907181399,-5.44970258282042
"Rate(V>=50)","x0",0.429767802218639,0.0485112025860905,0.319476643564432,0.433953214388531,0.512283520111977
"Rate(V>=50)","phi",380.749119526743,78.1470164192098,242.480738640108,376.101257476386,547.719569837733
"Rate(UV>=50)","L",0.0589122846193572,0.0123759433784211,0.0362390846025248,0.0583357901755621,0.0844107673153838
"Rate(UV>=50)","k",-13.4083213129582,2.73158097644078,-18.8685402027318,-13.3859698130674,-8.1332982808339
"Rate(UV>=50)","x0",0.423180639176881,0.0357973798975931,0.344288480661182,0.425864759645283,0.485964177403051
"Rate(UV>=50)","phi",66.0945209477089,14.722603200717,40.4239517680804,64.9298492584651,98.1947578966787
